cat_id;name
6;Adults Fighting Men -56 kg
7;Adults Fighting Men -62 kg
8;Adults Fighting Men -69 kg
9;Adults Fighting Men -77 kg
10;Adults Fighting Men -85 kg
11;Adults Fighting Men -94 kg
12;Adults Fighting Men +94 kg
13;Adults Fighting Women -49 kg
14;Adults Fighting Women -55 kg
15;Adults Fighting Women -62 kg
16;Adults Fighting Women -70 kg
17;Adults Fighting Women +70 kg
101;U18 Fighting Men -46 kg
102;U18 Fighting Men -50 kg
103;U18 Fighting Men -46 kg
104;U18 Fighting Men -66 kg
105;U18 Fighting Men -66 kg
106;U18 Fighting Men -73 kg
107;U18 Fighting Men -81 kg
108;U18 Fighting Men +81 kg
117;U18 Duo Men
118;U18 Duo Women
119;U18 Duo Mixed
120;U21 Duo Men
121;U21 Duo Women
122;U21 Duo Mixed
247;Adults Fighting Men +94 kg
260;U18 Show Men
261;U21 Show Men
262;U18 Show Women
263;U18 Show Mixed
264;U21 Show Mixed
265;U21 Show Women
656;Adults Jiu-Jitsu Men -56 kg
657;Adults Jiu-Jitsu Men -62 kg
658;Adults Jiu-Jitsu Men -69 kg
659;Adults Jiu-Jitsu Men -77 kg
660;Adults Jiu-Jitsu Men -85 kg
661;Adults Jiu-Jitsu Men -94 kg
662;Adults Jiu-Jitsu Men +94 kg
663;Adults Jiu-Jitsu Women -49 kg
664;Adults Jiu-Jitsu Women -55 kg
665;Adults Jiu-Jitsu Women -62 kg
666;Adults Jiu-Jitsu Women -70 kg
667;Adults Jiu-Jitsu Women +70 kg
704;U18 Jiu-Jitsu Men -66 kg
705;U18 Jiu-Jitsu Men -73 kg
712;U18 Jiu-Jitsu Women -57 kg
713;U18 Jiu-Jitsu Women -63 kg
716;U18 Duo Men
717;U18 Duo Women
718;U18 Duo Mixed
719;U18 Show Mixed
722;Adults Show Men
723;Adults Duo Women
724;Adults Show Men
725;Adults Duo Men
726;Adults Duo Women
727;Adults Duo Mixed
740;U21 Duo Women
741;U21 Duo Men
742;U21 Duo Mixed
802;Adults Jiu-Jitsu Men -62 kg
910;U18 Jiu-Jitsu Men -55 kg
911;U18 Jiu-Jitsu Women -52 kg
912;Adults Duo Mixed
913;Adults Duo Women
914;Adults Jiu-Jitsu Men -77 kg
915;U18 Fighting Women -52 kg
916;U18 Fighting Women -63 kg
917;Adults Fighting Men -85 kg
918;Adults Para Jiu-Jitsu Men -77 kg
919;Adults Jiu-Jitsu Women -55 kg
921;Adults Para Jiu-Jitsu Men -77 kg
1079;Adults Para Duo
1398;Adults Show Men
1399;Adults Show Women
1400;Adults Show Mixed
1429;U21 Fighting Men -56 kg
1430;U21 Fighting Men -62 kg
1431;U21 Fighting Men -69 kg
1432;U21 Fighting Men -77 kg
1433;U21 Fighting Men -85 kg
1434;U21 Fighting Men -94 kg
1435;U21 Fighting Men +94 kg
1436;U21 Fighting Women -45 kg
1437;U21 Fighting Women -48 kg
1438;U21 Fighting Women -52 kg
1439;U21 Fighting Women -57 kg
1441;U21 Fighting Women -63 kg
1442;U21 Fighting Women -70 kg
1443;U21 Fighting Women +70 kg
1444;Adults Fighting Men -56 kg
1446;Adults Fighting Men -69 kg
1447;Adults Fighting Men -77 kg
1448;Adults Fighting Men -85 kg
1449;Adults Fighting Men -94 kg
1450;Adults Fighting Men +94 kg
1451;Adults Fighting Men -62 kg
1452;Adults Fighting Women -45 kg
1453;Adults Fighting Women -48 kg
1454;Adults Fighting Women -52 kg
1455;Adults Fighting Women -57 kg
1456;Adults Fighting Women -63 kg
1457;Adults Fighting Women -70 kg
1458;Adults Fighting Women +70 kg
1459;U21 Jiu-Jitsu Men -56 kg
1460;U21 Jiu-Jitsu Men -62 kg
1461;U21 Jiu-Jitsu Men -69 kg
1462;U21 Jiu-Jitsu Men -77 kg
1463;U21 Jiu-Jitsu Men -85 kg
1464;U21 Jiu-Jitsu Men -94 kg
1465;U21 Jiu-Jitsu Men +94 kg
1466;U21 Jiu-Jitsu Women -45 kg
1467;U21 Jiu-Jitsu Women -48 kg
1468;U21 Jiu-Jitsu Women -52 kg
1469;U21 Jiu-Jitsu Women -57 kg
1470;U21 Jiu-Jitsu Women -63 kg
1471;U21 Jiu-Jitsu Women -70 kg
1472;U21 Jiu-Jitsu Women +70 kg
1473;Adults Jiu-Jitsu Men -56 kg
